internal_key	keep_value	remove_value
station_name		R 7-17
station_name		R 7-18
station_name		R 7-19
station_name		R 7-2
station_name		R 7-20
station_name		R 7-3
station_name		R 7-4
station_name		R 7-5
station_name		R 7-7
station_name		R 7-8
station_name		R 7-9
station_name		R 8-1
station_name		R 8-12
station_name		R 8-13
station_name		R 8-14
station_name		R 8-15
station_name		R 8-16
station_name		R 8-17
station_name		R 8-18
station_name		R 8-19
station_name		R 8-2
station_name		R 8-20
station_name		R 8-3
station_name		R 9-1
station_name		R 9-10
station_name		R 9-12
station_name		R 9-13
station_name		R 9-14
station_name		R 9-15
station_name		R 9-17
station_name		R 9-18
station_name		R 9-2
station_name		R 9-3
station_name		R 9-4
station_name		R 9-5
station_name		R 9-6
station_name		R 9-7
station_name		R 9-8
station_name		R 9-9
station_name		G 14
station_name		G 15
station_name		G 4
station_name		G 6
station_name		G 7
station_name		G 8
station_name		G14
station_name		G15
station_name		G4
station_name		G6
station_name		G7
station_name		G8
station_name		GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 12
station_name		GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 13
station_name		GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 2
station_name		GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 3
station_name		GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 5
station_name		GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN G 9
station_name		GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN R 4-1
station_name		GR 1
station_name		GR 101
station_name		GR 102
station_name		GR 103
station_name		GR 104
station_name		GR 105
station_name		GR 2
station_name		GR 3
station_name		GR 4
station_name		GR 5
station_name		Gr1
station_name		Gr2
station_name		Gr3
station_name		GR4
station_name		GR5
station_name		VBor1
station_name		VBor2
station_name		VBOR3
station_name		Stigfj
station_name		SALTF
station_name		SALTFJ
station_name		OLD 112
station_name		HAVSTENS FJORD, N BRATTÖN
station_name		HAVSTENS FJORD, V LYCKORNA
station_name		E 4A
station_name		E 3
station_name		E 2
station_name		BV2
station_name		BV 2
station_name		BV 42
station_name		A13
sample_orderer_name_sv		Bohuskusten Coalition of Water Conservation
sample_orderer_name_sv		County Administrative Board of Västra Götaland
