Scientific name	Comments	WORMS Authority	WORMS Rank	WORMS Kingdom	WORMS Phylum	WORMS Class	WORMS Order	WORMS Family	WORMS Genus	WORMS AphiaID
Merismopedia tenuissima		Lemmermann, 1898	Species	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae	Merismopedia	146576
Merismopedia warmingiana		Lagerheim, 1883	Species	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae	Merismopedia	146546
Merlangius merlangus		(Linnaeus, 1758)	Species	Animalia	Chordata	Actinopteri	Gadiformes	Gadidae	Merlangius	126438
Merona cornucopia		(Norman, 1864)	Species	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Oceaniidae	Merona	117434
Merona cornucopiae		(Norman, 1864)	Species	Animalia	Cnidaria	Hydrozoa	Anthoathecata	Oceaniidae	Merona	117434
Mesodinium		von Stein	Genus	Chromista	Ciliophora	Litostomatea	Cyclotrichiida	Mesodiniidae	Mesodinium	179320
Mesodinium rubrum		(Lohmann, 1908)	Species	Chromista	Ciliophora	Litostomatea	Cyclotrichiida	Mesodiniidae	Mesodinium	232069
Mesogloia vermiculata		(Smith) S.F.Gray, 1821	Species	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Chordariaceae	Mesogloia	144924
Mesoporos perforatus		(Gran) Lillick, 1937	Species	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Mesoporos	232516
Mesoporus perforatus		(Gran) Lillick, 1937	Species	Chromista	Myzozoa	Dinophyceae	Prorocentrales	Prorocentraceae	Mesoporos	232516
Metopa alderi		(Bate, 1857)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Stenothoidae	Metopa	103116
Metridia		Boeck, 1865	Genus	Animalia	Arthropoda		Calanoida	Metridinidae	Metridia	104190
Metridia lucens		Boeck, 1865	Species	Animalia	Arthropoda		Calanoida	Metridinidae	Metridia	104633
Metridium senile		(Linnaeus, 1761)	Species	Animalia	Cnidaria	Anthozoa	Actiniaria	Metridiidae	Metridium	100982
Meuniera membranacea		(Cleve) P.C.Silva, 1996	Species	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Meuniera	149145
Micracanthodinium		Deflandre, 1937	Genus	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Cladopyxidaceae	Micracanthodinium	109510
Micracanthodinium claytonii		(Holmes) Dodge, 1982	Species	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Cladopyxidaceae	Micracanthodinium	109992
Micracanthodinium setiferum		(Lohmann) Deflandre, 1937	Species	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Cladopyxidaceae	Micracanthodinium	109993
Micractinium		Fresinius, 1858	Genus	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Micractinium	163478
Micractinium pusillum		Fresenius, 1858	Species	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Micractinium	163479
Microcystis		Lemmermann, 1907	Genus	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	146557
Microcystis aeruginosa		(Kützing) Kützing, 1846	Species	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	146558
Microcystis flos-aquae		(Wittrock in Wittrock & Nordstedt) Kirchner, 1898	Species	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	146560
Microcystis holsatica		(Lemmermann) Lemmermann, 1907	Species	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	146642
Microcystis viridis		(A.Braun) Lemmermann, 1903	Species	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	177400
Microcystis wesenbergii		(Komárek) Komárek, 1968	Species	Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Microcystaceae	Microcystis	146561
Microdeutopus		Costa, 1853	Genus	Animalia	Arthropoda	Malacostraca	Amphipoda	Aoridae	Microdeutopus	101471
Microdeutopus anomalus		(Rathke, 1843)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Aoridae	Microdeutopus	102043
